1kP_Sample,Clade,Family,Species,,,
QFAE,Conifers,Cupressaceae,Sequoiadendron giganteum Glaucum,,,
QSNJ,Conifers,Cupressaceae,Taiwania cryptomerioides,,,
FHST,Conifers,Cupressaceae,Taxodium distichum,,,
CGDN,Conifers,Cupressaceae,Tetraclinis sp.,,,
VFYZ,Conifers,Cupressaceae,Thuja plicata,,,
NKIN,Conifers,Cupressaceae,Thujopsis dolabrata,,,
AUDE,Conifers,Cupressaceae,Widdringtonia cedarbergensis,,,
VSRH,Conifers,Pinaceae,Abies lasiocarpa,,,
NPRL,Conifers,Pinaceae,Cathaya argyrophylla,,,
GGEA,Conifers,Pinaceae,Cedrus libani,,,
JUWL,Conifers,Pinaceae,Keteleeria evelyniana,,,
WVWN,Conifers,Pinaceae,Larix speciosa,,,
AREG,Conifers,Pinaceae,Nothotsuga longibracteata,,,
AWQB,Conifers,Pinaceae,Picea engelmannii,,,
IIOL,Conifers,Pinaceae,Pinus parviflora,,,
DZQM,Conifers,Pinaceae,Pinus radiata,,,
JBND,Conifers,Pinaceae,Pinus ponderosa,,,
MFTM,Conifers,Pinaceae,Pinus jeffreyi,,,
AQFM,Conifers,Pinaceae,Pseudolarix amabilis,,,
IOVS,Conifers,Pinaceae,Pseudotsuga wilsoniana,,,
GAMH,Conifers,Pinaceae,Tsuga heterophylla,,,
HILW,Conifers,Podocarpaceae,Acmopyle pancheri,,,
FMWZ,Conifers,Podocarpaceae,Dacrycarpus compactus,,,
IZGN,Conifers,Podocarpaceae,Dacrydium balansae,,,
QHBI,Conifers,Podocarpaceae,Falcatifolium taxoides,,,
ROWR,Conifers,Podocarpaceae,Falcatifolium taxoides,,,
OWFC,Conifers,Podocarpaceae,Halocarpus bidwillii,,,
ZQWM,Conifers,Podocarpaceae,Lagarostrobos franklinii,,,
CDFR,Conifers,Podocarpaceae,Manoao colensoi,,,
MHGD,Conifers,Podocarpaceae,Microcachrys tetragona,,,
BBDD,Conifers,Podocarpaceae,Lepidothamnus sp.,,,
UUJS,Conifers,Podocarpaceae,Nageia nagi,,,
JZVE,Conifers,Podocarpaceae,Parasitaxus usta,,,
JRNA,Conifers,Podocarpaceae,Phyllocladus hypophyllus,,,
SCEB,Conifers,Podocarpaceae,Podocarpus coriaceus,,,
XLGK,Conifers,Podocarpaceae,Podocarpus rubens,,,
EGLZ,Conifers,Podocarpaceae,Prumnopitys andina,,,
VGSX,Conifers,Podocarpaceae,Retrophyllum minus,,,
QCGM,Conifers,Podocarpaceae,Saxegothaea conspicua,,,
KLGF,Conifers,Podocarpaceae,Sundacarpus amarus,,,
YFZK,Conifers,Sciadopityaceae,Sciadopitys verticillata,,,
BTTS,Conifers,Taxaceae,Austrotaxus spicata,,,
YLPM,Conifers,Taxaceae,Pseudotaxus chienii,,,
WWSS,Conifers,Taxaceae,Taxus baccata,,,
ZYAX,Conifers,Taxaceae,Taxus cuspidata,,,
EFMS,Conifers,Taxaceae,Torreya taxifolia,,,
HQOM,Conifers,Taxaceae,Torreya nucifera,,,
GAON,Lycophytes,Lycopodiaceae,Huperzia squarrosa,,,
GKAG,Lycophytes,Lycopodiaceae,Huperzia lucidula,,,
NYBX,Lycophytes,Lycopodiaceae,Huperzia selago,,,
CBAE,Lycophytes,Huperziaceae,Huperzia myrsinites,,,
ZZEI,Lycophytes,Huperziaceae,Phylloglossum drummondii,,,
GTUO,Lycophytes,Huperziaceae,Huperzia selago,,,
ULKT,Lycophytes,Lycopodiaceae,Lycopodiella appressa,,,
PQTO,Lycophytes,Lycopodiaceae,Lycopodium deuterodensum,,,
ENQF,Lycophytes,Lycopodiaceae,Lycopodium annotinum,,,
UPMJ,Lycophytes,Lycopodiaceae,Pseudolycopodiella caroliniana,,,
XNXF,Lycophytes,Lycopodiaceae,Dendrolycopodium obscurum,,,
WAFT,Lycophytes,Lycopodiaceae,Diphasiastrum digitatum,,,
PKOX,Lycophytes,Isoetaceae,Isoetes tegetiformans,,,
PYHZ,Lycophytes,Isoetaceae,Isoetes sp.,,,
LGDQ,Lycophytes,Selaginellaceae,Selaginella apoda,,,
JKAA,Lycophytes,Selaginellaceae,Selaginella wallacei,,,
ABIJ,Lycophytes,Selaginellaceae,Selaginella lepidophylla,,,
ZYCD,Lycophytes,Selaginellaceae,Selaginella acanthonota,,,
ZZOL,Lycophytes,Selaginellaceae,Selaginella stauntoniana,,,
KUXM,Lycophytes,Selaginellaceae,Selaginella selaginoides,,,
ZFGK,Lycophytes,Selaginellaceae,Selaginella kraussiana,,,
KJYC,Lycophytes,Selaginellaceae,Selaginella willdenowii,,,
CAPN,Eusporangiate Monilophytes,Equisetaceae,Equisetum diffusum,,,
JVSZ,Eusporangiate Monilophytes,Equisetaceae,Equisetum hyemale,,,
NHCM,Eusporangiate Monilophytes,Marattiaceae,Angiopteris evecta,,,
UXCS,Eusporangiate Monilophytes,Marattiaceae,Marattia sp.,,,
UGNK,Eusporangiate Monilophytes,Marattiaceae,Marattia attenuata,,,
DFHO,Eusporangiate Monilophytes,Marattiaceae,Danaea nodosa,,,
BEGM,Eusporangiate Monilophytes,Ophioglossaceae,Botrypus virginianus,,,
WTJG,Eusporangiate Monilophytes,Ophioglossaceae,Ophioglossum petiolatum,,,
QHVS,Eusporangiate Monilophytes,Ophioglossaceae,Ophioglossum vulgatum,,,
EEAQ,Eusporangiate Monilophytes,Ophioglossaceae,Sceptridium dissectum,,,
QVMR,Eusporangiate Monilophytes,Psilotaceae,Psilotum nudum,,,
ALVQ,Eusporangiate Monilophytes,Psilotaceae,Tmesipteris parva,,,
PNZO,Leptosporangiate Monilophytes,Culcitaceae,Culcita macrocarpa,,,
GANB,Leptosporangiate Monilophytes,Cyatheaceae,Cyathea (Alsophila) spinulosa,,,
EWXK,Leptosporangiate Monilophytes,Thyrsopteridaceae,Thyrsopteris elegans,,,
XDVM,Leptosporangiate Monilophytes,Gleicheniaceae,Sticherus lobatus,,,
MEKP,Leptosporangiate Monilophytes,Dipteridaceae,Dipteris conjugata,,,
TWFZ,Leptosporangiate Monilophytes,Hymenophyllaceae,Crepidomanes venosum,,,
QIAD,Leptosporangiate Monilophytes,Hymenophyllaceae,Hymenophyllum bivalve,,,
TRPJ,Leptosporangiate Monilophytes,Hymenophyllaceae,Hymenophyllum cupressiforme,,,
BIVQ,Leptosporangiate Monilophytes,Osmundaceae,Osmundastrum cinnamomeum,,,
RFMZ,Leptosporangiate Monilophytes,Osmundaceae,Osmundastrum cinnamomeum,,,
YKSS,Leptosporangiate Monilophytes,Osmundaceae,Osmunda regalis,,,
UOMY,Leptosporangiate Monilophytes,Osmundaceae,Osmunda sp.,,,
VIBO,Leptosporangiate Monilophytes,Osmundaceae,Osmunda javanica,,,
UWOD,Leptosporangiate Monilophytes,Plagiogyriaceae,Plagiogyria japonica,,,
IXLH,Leptosporangiate Monilophytes,Polypodiaceae,Polypodium hesperium,,,
GYFU,Leptosporangiate Monilophytes,Polypodiaceae,Polypodium hesperium,,,
YLJA,Leptosporangiate Monilophytes,Polypodiaceae,Polypodium amorphum,,,
CJNT,Leptosporangiate Monilophytes,Polypodiaceae,Polypodium glycyrrhiza,,,
ZQYU,Leptosporangiate Monilophytes,Polypodiaceae,Phlebodium pseudoaureum,,,
UJWU,Leptosporangiate Monilophytes,Polypodiaceae,Pleopeltis polypodioides,,,
ORJE,Leptosporangiate Monilophytes,Polypodiaceae,Phymatosorus grossus,,,
OQWW,Leptosporangiate Monilophytes,Davalliaceae,Davallia fejeensis,,,
NWWI,Leptosporangiate Monilophytes,Lomariopsidaceae,Nephrolepis exaltata,,,
JBLI,Leptosporangiate Monilophytes,Elaphoglossaceae,Bolbitis repanda,,,
FQGQ,Leptosporangiate Monilophytes,Dryopteridaceae,Polystichum acrostichoides,,,
RFRB,Leptosporangiate Monilophytes,Hypodematiaceae,Didymochlaena truncatula,,,
WGTU,Leptosporangiate Monilophytes,Hypodematiaceae,Leucostegia immersa,,,
PSKY,Leptosporangiate Monilophytes,Aspleniaceae,Asplenium nidus,,,
KJZG,Leptosporangiate Monilophytes,Aspleniaceae,Asplenium platyneuron,,,
OCZL,Leptosporangiate Monilophytes,Diplaziopsidaceae,Homalosorus pycnocarpos,,,
MROH,Leptosporangiate Monilophytes,Thelypteridaceae,Thelypteris acuminata,,,
YJJY,Leptosporangiate Monilophytes,Woodsiaceae,Woodsia scopulina,,,
YQEC,Leptosporangiate Monilophytes,Woodsiaceae,Woodsia ilvensis,,,
HTFH,Leptosporangiate Monilophytes,Onocleaceae,Onoclea sensibilis,,,
VITX,Leptosporangiate Monilophytes,Blechnaceae,Blechnum spicant,,,
AFPO,Leptosporangiate Monilophytes,Athyriaceae,Athyrium sp.,,,
URCP,Leptosporangiate Monilophytes,Athyriaceae,Athyrium filix-femina,,,
FCHS,Leptosporangiate Monilophytes,Athyriaceae,Deparia lobato-crenata,,,
UFJN,Leptosporangiate Monilophytes,Athyriaceae,Diplazium wichurae,,,
HNDZ,Leptosporangiate Monilophytes,Cystopteridaceae,Cystopteris utahensis,,,
LHLE,Leptosporangiate Monilophytes,Cystopteridaceae,Cystopteris fragilis,,,
XXHP,Leptosporangiate Monilophytes,Cystopteridaceae,Cystopteris fragilis,,,
RICC,Leptosporangiate Monilophytes,Cystopteridaceae,Cystopteris reevesiana,,,
YOWV,Leptosporangiate Monilophytes,Cystopteridaceae,Cystopteris protrusa,,,
HEGQ,Leptosporangiate Monilophytes,Cystopteridaceae,Gymnocarpium dryopteris,,,
MTGC,Leptosporangiate Monilophytes,Dennstaedtiaceae,Dennstaedtia davallioides,,,
WCLG,Leptosporangiate Monilophytes,Pteridaceae,Adiantum aleuticum,,,
BMJR,Leptosporangiate Monilophytes,Pteridaceae,Adiantum raddianum,,,
DCDT,Leptosporangiate Monilophytes,Pteridaceae,Gaga arizonica,,,
WQML,Leptosporangiate Monilophytes,Pteridaceae,Cryptogramma acrostichoides,,,
ZXJO,Leptosporangiate Monilophytes,Pteridaceae,Parahemionitis cordata,,,
POPJ,Leptosporangiate Monilophytes,Pteridaceae,Pteris vittata,,,
FLTD,Leptosporangiate Monilophytes,Pteridaceae,Pteris ensiformis,,,
UJTT,Leptosporangiate Monilophytes,Pteridaceae,Pityrogramma trifoliata,,,
YCKE,Leptosporangiate Monilophytes,Pteridaceae,Notholaena montieliae,,,
XDDT,Leptosporangiate Monilophytes,Pteridaceae,Argyrochosma nivea,,,
GSXD,Leptosporangiate Monilophytes,Pteridaceae,Myriopteris rufa,,,
SKYV,Leptosporangiate Monilophytes,Pteridaceae,Vittaria lineata,,,
NDUV,Leptosporangiate Monilophytes,Pteridaceae,Vittaria appalachiana,,,
PIVW,Leptosporangiate Monilophytes,Pteridaceae,Ceratopteris thalictroides,,,
NOKI,Leptosporangiate Monilophytes,Lindsaeaceae,Lindsaea linearis,,,
YIXP,Leptosporangiate Monilophytes,Lindsaeaceae,Lindsaea microphylla,,,
BMIF,Leptosporangiate Monilophytes,Lindsaeaceae,Aspenium sp.,,,
VVRN,Leptosporangiate Monilophytes,Lonchitidaceae,Lonchitis hirsuta,,,
CVEG,Leptosporangiate Monilophytes,Salviniaceae,Azolla cf. caroliniana,,,
KIIX,Leptosporangiate Monilophytes,Marsileaceae,Pilularia globulifera,,,
CQPW,Leptosporangiate Monilophytes,Anemiaceae,Anemia tomentosa,,,
PBUU,Leptosporangiate Monilophytes,Lygodiaceae,Lygodium japonicum,,,
WOGB,Mosses,Andreaeaceae,Andreaea rupestris,,,
ORKS,Mosses,Bartramiaceae,Philonotis fontana,,,
BGXB,Mosses,Mielichhoferiaceae,Plagiomnium insigne,,,
JMXW,Mosses,Bryaceae,Bryum argenteum,,,
WNGH,Mosses,Aulacomniaceae,Aulacomnium heterostichum,,,
VBMM,Mosses,Brachytheciaceae,Claopodium rostratum,,,
QMWB,Mosses,Myuriaceae,Anomodon attenuatus,,,
ABCD,Mosses,Grimmiaceae,Racomitrium elongatum,,,
RDOO,Mosses,Grimmiaceae,Racomitrium varium,,,
BPSG,Mosses,Scouleriaceae,Scouleria aquatica,,,
HRWG,Mosses,Buxbaumiaceae,Buxbaumia aphylla,,,
NGTD,Mosses,Dicranaceae,Dicranum scoparium,,,
VMXJ,Mosses,Leucobryaceae,Leucobryum albidum,,,
RGKI,Mosses,Leucobryaceae,Leucobryum glaucum,,,
FFPD,Mosses,Ditrichaceae,Ceratodon purpureus,,,
AWOI,Mosses,Diphysciaceae,Diphyscium foliosum,,,
KEFD,Mosses,Encalyptaceae,Encalypta streptocarpa,,,
XWHK,Mosses,Bryaceae,Rosulabryum cf. capillare,,,
YEPO,Mosses,Funariaceae,Physcomitrium sp.,,,
YWNF,Mosses,Hedwigiaceae,Hedwigia ciliata,,,
WSPM,Mosses,Hylocomiaceae,Loeskeobryum brevirostre,,,
ZACW,Mosses,Leucodontaceae,Leucodon brachypus,,,
LNSF,Mosses,Pylaisiaceae,Stereodon subimponens,,,
QKQO,Mosses,Plagiotheciaceae,Pseudotaxiphyllum elegans,,,
EEMJ,Mosses,Thuidiaceae,Thuidium delicatulum,,,
JADL,Mosses,Brachytheciaceae,Rhynchostegium serrulatum,,,
IGUH,Mosses,Leucodontaceae,Leucodon julaceus,,,
TAVP,Mosses,Calliergonaceae,Calliergon cordifolium,,,
MIRS,Mosses,Climaciaceae,Climacium dendroides,,,
DHWX,Mosses,Fontinalaceae,Fontinalis antipyretica,,,
TMAJ,Mosses,Neckeraceae,Neckera douglasii,,,
CMEQ,Mosses,Orthotrichaceae,Orthotrichum lyellii,,,
SZYG,Mosses,Polytrichaceae,Polytrichum commune,,,
ZTHV,Mosses,Polytrichaceae,Atrichum angustatum,,,
GRKU,Mosses,Pottiaceae,Syntrichia princeps,,,
GOWD,Mosses,Sphagnaceae,Sphagnum lescurii,,,
RCBT,Mosses,Sphagnaceae,Sphagnum palustre,,,
UHLI,Mosses,Sphagnaceae,Sphagnum recurvum,,,
SKQD,Mosses,Takakiaceae,Takakia lepidozioides,,,
HVBQ,Mosses,Tetraphidaceae,Tetraphis pellucida,,,
ZQRI,Mosses,Timmiaceae,Timmia austriaca,,,
FANS,Hornworts,Leiosporocerotaceae,Leiosporoceros dussii,,,
ANON,Hornworts,Leiosporocerotaceae,Leiosporoceros dussii,,,
IQJU,Hornworts,Anthoceroceae,Anthoceros angustus,,,
TWUW,Hornworts,Anthoceroceae,Anthoceros agrestis,,,
BSNI,Hornworts,Anthoceroceae,Anthoceros agrestis,,,
FAJB,Hornworts,Notothyladaceae,Paraphymatoceros hallii,,,
WCZB,Hornworts,Notothyladaceae,Phaeoceros carolinianus,,,
RXRQ,Hornworts,Notothyladaceae,Phaeoceros carolinianus,,,
WEEQ,Hornworts,Notothyladaceae,Phaeoceros carolinianus,,,
ZFRE,Hornworts,Notothyladaceae,Phaeoceros carolinianus,,,
DXOU,Hornworts,Dendrocerotaceae,Nothoceros aenigmaticus,,,
TCBC,Hornworts,Dendrocerotaceae,Nothoceros vincentianus,,,
UCRN,Hornworts,Dendrocerotaceae,Megaceros flagellaris,,,
AKXB,Hornworts,Dendrocerotaceae,Phaeomegaceros coriaceus,,,
AEXY,Liverworts,Blasiaceae,Blasia sp.,,,
YBQN,Liverworts,Cephaloziaceae,Odontoschisma prostratum,,,
WZYK,Liverworts,Lepidoziaceae,Bazzania trilobata,,,
RTMU,Liverworts,Calypogeiaceae,Calypogeia fissa,,,
CHJJ,Liverworts,Frullaniaceae,Frullania spp.,,,
IRBN,Liverworts,Scapaniaceae,Scapania nemorosa,,,
OFTV,Liverworts,Scapaniaceae,Barbilophozia barbata,,,
HPXA,Liverworts,Ptilidiaceae,Ptilidium pulcherrimum,,,
LGOW,Liverworts,Schistochilaceae,Schistochila sp.,,,
UUHD,Liverworts,Porellaceae,Porella pinnata,,,
NWQC,Liverworts,Plagiochilaceae/Fissidentaceae,mixed species,,,
TGKW,Liverworts,Frullaniaceae,Frullania sp.,,,
JPYU,Liverworts,Marchantiaceae,Marchantia polymorpha,,,
TFYI,Liverworts,Marchantiaceae,Marchantia emarginata,,,
HMHL,Liverworts,Marchantiaceae,Marchantia paleacea,,,
IHWO,Liverworts,Marchantiaceae,Marchantia paleacea,,,
ILBQ,Liverworts,Conocephalaceae,Conocephalum conicum,,,
TXVB,Liverworts,Lunulariaceae,Lunularia cruciata,,,
TFDQ,Liverworts,Monocleaceae,Monoclea gottschei,,,
WJLO,Liverworts,Ricciaceae,Ricciocarpos natans,,,
NRWZ,Liverworts,Metzgeriaceae,Metzgeria crassipilis,,,
YFGP,Liverworts,Pallaviciniaceae,Pallavicinia lyellii,,,
PIUF,Liverworts,Pelliaceae,Pellia sp. (cf epiphylla (L.) Corda),,,
JHFI,Liverworts,Pelliaceae,Pellia neesiana,,,
YPSN,Liverworts,Pelliaceae,Noteroclada confluens,,,
KRUQ,Liverworts,Porellaceae,Porella navicularis,,,
BNCU,Liverworts,Radulaceae,Radula lindenbergiana,,,
HERT,Liverworts,Sphaerocarpaceae,Sphaerocarpos texanus,,,
FITN,Liverworts,Treubiaceae,Treubia lacunosa,,,
XMCL,Green Algae,Prasinococcaceae,Prasinococcus capsulatus,,,
XJGM,Green Algae,Prasinococcaceae,coccoid-prasinophyte,,,
HYHN,Green Algae,Prasinococcaceae,Prasinoderma coloniale,,,
MXEZ,Green Algae,Pycnococcaceae,Pycnococcus provasolii,,,
JMTE,Green Algae,Pycnococcaceae,Pseudoscourfieldia marina,,,
TNAW,Green Algae,Pyramimonadaceae,Pyramimonas parkeae,,,
XIVI,Green Algae,Pyramimonadaceae,Cymbomonas sp.,,,
AYPS,Green Algae,incertae sedis,unidentified species,,,
MCPK,Green Algae,Mamiellaceae,Bathycoccus prasinos,,,
QXSZ,Green Algae,Mamiellaceae,Mantoniella squamata,,,
BTFM,Green Algae,Monomasticaceae,Monomastix opisthostigma,,,
XOAL,Green Algae,Dolichomastigaceae,Dolichomastix tenuilepis,,,
MMKU,Green Algae,Nephroselmidaceae,Nephroselmis olivacea,,,
ISIM,Green Algae,Nephroselmidaceae,Nephroselmis pyriformis,,,
FMVB,Green Algae,Chlorodendraceae,Scherffelia dubia,,,
HVNO,Green Algae,Chlorodendraceae,Tetraselmis chui,,,
DUMA,Green Algae,Chlorodendraceae,Tetraselmis cordiformis,,,
HHXJ,Green Algae,Chlorodendraceae,Tetraselmis striata,,,
BAZF,Green Algae,Chaetopeltidaceae,Chaetopeltis orbicularis,,,
VFIV,Green Algae,Chaetophoraceae,Fritschiella tuberosa,,,
AJAU,Green Algae,Chaetophoraceae,Helicodictyon planctonicum,,,
NQYP,Green Algae,Chaetophoraceae,Pirula salina,,,
JMUI,Green Algae,Chaetophoraceae,Stigeoclonium helveticum,,,
RAWF,Green Algae,Chaetophoraceae,Uronema belkae,,,
ISGT,Green Algae,Chaetophoraceae,Uronema sp.,,,
IJMT,Green Algae,Aphanochaetaceae,Aphanochaete repens,,,
GXBM,Green Algae,Coccomyxaceae,Coccomyxa pringsheimii,,,
BZSH,Green Algae,Golenkiniaceae,Golenkinia longispicula,,,
XKWQ,Green Algae,Hydrodictyaceae,Pediastrum duplex CCAC 0012,,,
NLOM,Green Algae,Hydrodictyaceae,Pediastrum duplex CCAC 0012,,,
XTON,Green Algae,Hydrodictyaceae,Pediastrum duplex CCAC 0147,,,
PZIF,Green Algae,Scenedesmaceae,Scenedesmus dimorphus,,,
ALZF,Green Algae,Chlorocystidaceae,Halochlorococcum marinum,,,
USIX,Green Algae,Chlorosarcinaceae,Neochlorosarcina sp.,,,
FOYQ,Green Algae,Microsporaceae,Microspora cf. tumidula,,,
DVYE,Green Algae,Oedogoniaceae,Oedogonium cardiacum,,,
SDPC,Green Algae,Oedogoniaceae,Oedogonium foveolatum,,,
KUJU,Green Algae,Goniaceae,Gonium pectorale,,,
EEJO,Green Algae,incertae sedis,Neochloris oleoabundans,,,
KSFK,Green Algae,Chlorosarcinaceae,Chlorosarcinopsis halophila,,,
GJIY,Green Algae,Neochloridaceae,Neochloris sp.,,,
OTQG,Green Algae,Ankistrodesmaceae,Ankistrodesmus sp.,,,
JWGT,Green Algae,Volvocaceae,Volvox aureus,,,
WRSL,Green Algae,Volvocaceae,Volvox aureus,,,
ISPU,Green Algae,Volvocaceae,Volvox globator,,,
RNAT,Green Algae,Volvocaceae,Eudorina elegans,,,
RYJX,Green Algae,Volvocaceae,Pandorina morum,,,
MNPL,Green Algae,Asteromonadaceae,Asteromonas gracilis,,,
NTLE,Green Algae,Asteromonadaceae,Asteromonas gracilis,,,
VIAU,Green Algae,Carteriaceae,Carteria crucifera,,,
RUIF,Green Algae,Carteriaceae,Carteria obtusa,,,
MULF,Green Algae,Chlamydomonadaceae,Chlamydomonas bilatus,,,
OVHR,Green Algae,Chlamydomonadaceae,Chlamydomonas bilatus,,,
BCYF,Green Algae,Chlamydomonadaceae,Chlamydomonas cribrum,,,
JRGZ,Green Algae,Chlamydomonadaceae,Chlamydomonas moewusii,,,
VALZ,Green Algae,Chlamydomonadaceae,Chlamydomonas noctigama,,,
TSBQ,Green Algae,Chlamydomonadaceae,Chlamydomonas sp.,,,
AOUJ,Green Algae,Chlamydomonadaceae,Chlamydomonas sp.,,,
GUBD,Green Algae,Chlamydomonadaceae,Brachiomonas submarina,,,
IHOI,Green Algae,Chlamydomonadaceae,Chloromonas oogama,,,
QRTH,Green Algae,Chlamydomonadaceae,Chlorococcum microstigmaticum,,,
LBRP,Green Algae,Chlamydomonadaceae,Chloromonas reticulata,,,
GDUD,Green Algae,Chlamydomonadaceae,Chloromonas reticulata,,,
AJUW,Green Algae,Chlamydomonadaceae,Chloromonas rosae v. psychrophila,,,
GFUR,Green Algae,Chlamydomonadaceae,Chloromonas subdivisa,,,
UTRE,Green Algae,Chlamydomonadaceae,Chloromonas tughillensis,,,
IRYH,Green Algae,Chlamydomonadaceae,Heterochlamydomonas inaequalis,,,
OFUE,Green Algae,Chlamydomonadaceae,Lobochlamys segnis,,,
JKKI,Green Algae,Chlamydomonadaceae,Lobomonas rostrata,,,
XDLL,Green Algae,Chlamydomonadaceae,Oogamochlamys gigantea,,,
MXDS,Green Algae,Chlamydomonadaceae,Spermatozopsis exsultans,,,
ENAU,Green Algae,Chlamydomonadaceae,Spermatozopsis similis,,,
QWRA,Green Algae,Chlamydomonadaceae,Vitreochlamys sp.,,,
WDWX,Green Algae,Dunaliellaceae,Dunaliella tertiolecta,,,
RHVC,Green Algae,Dunaliellaceae,Dunaliella salina,,,
SYJM,Green Algae,Dunaliellaceae,Dunaliella viridis dumsii,,,
UKUC,Green Algae,Dunaliellaceae,Dunaliella salina,,,
ZDIZ,Green Algae,Dunaliellaceae,Dunaliella tertiolecta,,,
FXHG,Green Algae,Dunaliellaceae,Hafniomonas reticulata,,,
ODXI,Green Algae,Haematococcaceae,Haematococcus pluvialis,,,
AGIO,Green Algae,Haematococcaceae,Haematococcus pluvialis,,,
ZLQE,Green Algae,Haematococcaceae,Stephanosphaera pluvialis,,,
ZIVZ,Green Algae,Phacotaceae,Phacotus lenticularis,,,
LNIL,Green Algae,Phacotaceae,Pteromonas angulosa,,,
ACRY,Green Algae,Phacotaceae,Pteromonas sp.,,,
NKXU,Green Algae,Trebouxiaceae,Trebouxia arboricola,,,
ETGN,Green Algae,Botryococcaceae,Botryococcus braunii,,,
VJDZ,Green Algae,Botryococcaceae,Botryococcus sudeticus,,,
QYXY,Green Algae,Botryococcaceae,Botryococcus terribilis,,,
MWAN,Green Algae,Chlorellaceae,Chlorella minutissima,,,
PFUD,Green Algae,Chlorellaceae,Geminella sp.,,,
MFYC,Green Algae,Chlorellaceae,Nannochloris atomus,,,
AKCR,Green Algae,Chlorellaceae,Parachlorella kessleri,,,
BILC,Green Algae,Chlorellaceae,Prototheca wickerhamii,,,
ZNUM,Green Algae,Leptosiraceae,Leptosira obovata,,,
MNCB,Green Algae,Oocystaceae,Eremosphaera viridis,,,
DXNY,Green Algae,Microthamniaceae,Microthamnion kuetzingianum,,,
ZDOF,Green Algae,Microthamniaceae,Microthamnion kuetzingianum,,,
WCLV,Green Algae,Prasiolaceae,Prasiola crispa,,,
WXRI,Green Algae,Prasiolaceae,Stichococcus bacillaris,,,
CQQP,Green Algae,Ulvaceae,Ochlochaete sp.,,,
OAEZ,Green Algae,Ulvaceae,Percursaria percursa,,,
LSHT,Green Algae,Bolbocoleonaceae,Bolbocoleon piliferum,,,
PZBH,Green Algae,Oltmannsiellopsidaceae,Oltmannsiellopsis viridis,,,
QJYX,Green Algae,Oltmannsiellopsidaceae,Oltmannsiellopsis viridis,,,
OQON,Green Algae,Ulvellaceae,Entocladia endozoica,,,
VBLH,Green Algae,Cladophoraceae,Cladophora glomerata,,,
NATT,Green Algae,Trentepohliaceae,Trentepohlia annulata,,,
YDCQ,Green Algae,Trentepohliaceae,Cephaleuros virescens,,,
CBNG,Green Algae,Borodinellaceae,Planophila laetevirens,,,
LETF,Green Algae,Borodinellaceae,Planophila terrestris,,,
DZPJ,Green Algae,Cylindrocapsaceae,Cylindrocapsa geminella,,,
JIWJ,Green Algae,Ulotrichaceae,Acrosiphonia sp.,,,
KADG,Green Algae,Ulotrichaceae,Ignatius tetrasporus,,,
FPCO,Green Algae,Ulotrichaceae,Interfilum paradoxum,,,
JTIG,Green Algae,Bryopsidaceae,Bryopsis plumosa,,,
GYBH,Green Algae,Codiaceae,Codium fragile,,,
VHIJ,Green Algae,Chaetosiphonaceae,Blastophysa cf. rhizopus,,,
KYIO,Green Algae,Mesostigmataceae,Mesostigma viride,,,
RRSV,Green Algae,Pedinomonadaceae,Pedinomonas minor,,,
PUAN,Green Algae,Pedinomonadaceae,Pedinomonas tuberculata,,,
EGNB,Green Algae,Scourfieldiaceae,Scourfieldia sp.,,,
PRIQ,Green Algae,Pleurastraceae,Chlorococcum oleofaciens,,,
TGNL,Green Algae,incertae sedis,Picocystis salinarum,,,
MWXT,Green Algae,Characeae,Chara vulgaris,,,
QPDY,Green Algae,Coleochaetaceae,Coleochaete irregularis,,,
VQBJ,Green Algae,Coleochaetaceae,Coleochaete scutata,,,
DRGY,Green Algae,Chaetosphaeridiaceae,Chaetosphaeridium globosum,,,
FQLP,Green Algae,Klebsormidiaceae,Klebsormidium subtile,,,
AZZW,Green Algae,Klebsormidiaceae,Chlorokybus atmophyticus,,,
BFIK,Green Algae,Klebsormidiaceae,Entransia fimbriata,,,
JOJQ,Green Algae,Zygnemataceae,Cylindrocystis cushleckae,,,
ZRMT,Green Algae,Zygnemataceae,Mougeotia sp.,,,
HAOX,Green Algae,Zygnemataceae,Spirogyra sp.,,,
WGMD,Green Algae,Zygnemataceae,Zygnema sp.,,,
MFZO,Green Algae,Zygnemataceae,Zygnemopsis sp.,,,
DRFX,Green Algae,Closteriaceae,Closterium lunula,,,
DFDS,Green Algae,Desmidiaceae,Desmidium aptogonum,,,
QWFV,Green Algae,Desmidiaceae,Bambusina borreri,,,
HIDG,Green Algae,Desmidiaceae,Cosmarium broomei,,,
MNNM,Green Algae,Desmidiaceae,Cosmarium granatum,,,
STKJ,Green Algae,Desmidiaceae,Cosmarium ochthodes,,,
HJVM,Green Algae,Desmidiaceae,Cosmarium ochthodes,,,
WDGV,Green Algae,Desmidiaceae,Cosmarium subtumidum,,,
BHBK,Green Algae,Desmidiaceae,Cosmarium tinctum,,,
RQFE,Green Algae,Desmidiaceae,Cosmocladium cf. constrictum,,,
GYRP,Green Algae,Desmidiaceae,Euastrum affine,,,
MCHJ,Green Algae,Desmidiaceae,Micrasterias fimbriata,,,
GGWH,Green Algae,Desmidiaceae,Onychonema laeve,,,
RPQV,Green Algae,Desmidiaceae,Phymatodocis nordstedtiana,,,
MOYY,Green Algae,Desmidiaceae,Pleurotaenium trabecula,,,
